Year,ID Occupied By,Occupied By,ID Geography,Geography,Household Ownership,Household Ownership Moe
"2021",0,"Owner Occupied","04000US01","Alabama",1320571,7849.999999999999
"2021",0,"Owner Occupied","04000US02","Alaska",171207,1749.9999999999998
"2021",0,"Owner Occupied","04000US04","Arizona",1765658,8454
"2021",0,"Owner Occupied","04000US05","Arkansas",765297,5491
"2021",0,"Owner Occupied","04000US06","California",7335247,36253
"2021",0,"Owner Occupied","04000US08","Colorado",1473449,7078
"2021",0,"Owner Occupied","04000US09","Connecticut",925503,5392
"2021",0,"Owner Occupied","04000US10","Delaware",272435,2379
"2021",0,"Owner Occupied","04000US11","District of Columbia",128720,2367
"2021",0,"Owner Occupied","04000US12","Florida",5420631,27145
"2021",0,"Owner Occupied","04000US13","Georgia",2506873,15479
"2021",0,"Owner Occupied","04000US15","Hawaii",291814,2411
"2021",0,"Owner Occupied","04000US16","Idaho",471036,4388
"2021",0,"Owner Occupied","04000US17","Illinois",3279322,15174
"2021",0,"Owner Occupied","04000US18","Indiana",1831953,10238
"2021",0,"Owner Occupied","04000US19","Iowa",912969,4475
"2021",0,"Owner Occupied","04000US20","Kansas",759042,4790
"2021",0,"Owner Occupied","04000US21","Kentucky",1185302,7689
"2021",0,"Owner Occupied","04000US22","Louisiana",1165858,7904
"2021",0,"Owner Occupied","04000US23","Maine",419024,2927
"2021",0,"Owner Occupied","04000US24","Maryland",1543719,7552
"2021",0,"Owner Occupied","04000US25","Massachusetts",1694407,7734
"2021",0,"Owner Occupied","04000US26","Michigan",2870693,11561
"2021",0,"Owner Occupied","04000US27","Minnesota",1610801,6493
"2021",0,"Owner Occupied","04000US28","Mississippi",764115,5757
"2021",0,"Owner Occupied","04000US29","Missouri",1645433,8727
"2021",0,"Owner Occupied","04000US30","Montana",301421,2552
"2021",0,"Owner Occupied","04000US31","Nebraska",511993,3430.0000000000005
"2021",0,"Owner Occupied","04000US32","Nevada",659671,4755
"2021",0,"Owner Occupied","04000US33","New Hampshire",387149,2619
"2021",0,"Owner Occupied","04000US34","New Jersey",2168148,10870
"2021",0,"Owner Occupied","04000US35","New Mexico",543834,4521
"2021",0,"Owner Occupied","04000US36","New York",4095636,19237
"2021",0,"Owner Occupied","04000US37","North Carolina",2660519,13794
"2021",0,"Owner Occupied","04000US38","North Dakota",199325,1862.0000000000002
"2021",0,"Owner Occupied","04000US39","Ohio",3165935,15312
"2021",0,"Owner Occupied","04000US40","Oklahoma",993391,4703
"2021",0,"Owner Occupied","04000US41","Oregon",1047165,6584
"2021",0,"Owner Occupied","04000US42","Pennsylvania",3560917,14328.000000000002
"2021",0,"Owner Occupied","04000US44","Rhode Island",265851,2813
"2021",0,"Owner Occupied","04000US45","South Carolina",1390017,8822
"2021",0,"Owner Occupied","04000US46","South Dakota",236677,1918
"2021",0,"Owner Occupied","04000US47","Tennessee",1783274,10190
"2021",0,"Owner Occupied","04000US48","Texas",6391061,30421.000000000004
"2021",0,"Owner Occupied","04000US49","Utah",729074,4637
"2021",0,"Owner Occupied","04000US50","Vermont",189152,1746
"2021",0,"Owner Occupied","04000US51","Virginia",2164967,11732
"2021",0,"Owner Occupied","04000US53","Washington",1864897,8734
"2021",0,"Owner Occupied","04000US54","West Virginia",525945,3968
"2021",0,"Owner Occupied","04000US55","Wisconsin",1619704,8628
"2021",0,"Owner Occupied","04000US56","Wyoming",165359,1720.0000000000002
"2021",0,"Owner Occupied","04000US72","Puerto Rico",814154,4076.9999999999995
"2021",1,"Renter Occupied","04000US01","Alabama",582412,5141
"2021",1,"Renter Occupied","04000US02","Alaska",89354,1746
